"","Date","Stage","Emb_ID","Treatment","Dose","Cntl","Expt","Ratio","Norm_Cntl","Norm_Expt"
"1","20240325","8ss","20240325_ApoDOE;1,5ugul_Emb10_8ss","ApoDOE","1,5ugul",61.993,63.979,1.03203587501815,0.986753723028339,1.01836524197297
"2","20240325","8ss","20240325_ApoDOE;1,5ugul_Emb11_8ss","ApoDOE","1,5ugul",78.553,120.174,1.52984609117411,1.2503422193642,1.91283115692429
"3","20240325","9ss","20240325_ApoDOE;1,5ugul_Emb9_9ss","ApoDOE","1,5ugul",56.459,55.122,0.976319098815069,0.898668050400158,0.877386781100577
"4","20240325","8ss","20240325_ApoDOE;2,5ugul_Emb3_8ss","ApoDOE","2,5ugul",60.157,58.542,0.973153581461842,0.957529781043276,0.931823535778637
"5","20240325","8ss","20240325_ApoDOE;2,5ugul_Emb4_8ss","ApoDOE","2,5ugul",56.964,56.76,0.996418790815252,0.906706226164023,0.903459121499016
"6","20240506","9ss","20240506_ApoDOE;1,5ugul_Emb2_9ss","ApoDOE","1,5ugul",157.722,137.242,0.870151278832376,0.748726582811281,0.651505393529031
"7","20240506","10ss","20240506_ApoDOE;1,5ugul_Emb3_10ss","ApoDOE","1,5ugul",318.772,238.113,0.746969620920282,1.51325160888093,1.13035298064279
"8","20240506","9ss","20240506_ApoDOE;1,5ugul_Emb4_9ss","ApoDOE","1,5ugul",145.199,145.533,1.00230029132432,0.689278294071944,0.69086383495184
"9","20240506","9ss","20240506_ApoDOE;1,5ugul_Emb9_9ss","ApoDOE","1,5ugul",325.415,257.585,0.791558471490251,1.54478678272868,1.22278906451506
"10","20240506","9ss","20240506_ApoDOE;2,5ugul_Emb3_9ss","ApoDOE","2,5ugul",141.365,137.451,0.972312807271955,0.67107780385182,0.652497543361062
"11","20240506","9ss","20240506_ApoDOE;2,5ugul_Emb5_9ss","ApoDOE","2,5ugul",175.449,183.853,1.0478999595324,0.832878927655346,0.872773794585425
