,"ControlMO"
202500908_ControlMO_Emb6_bothSide_BF;SOX10;H2BRFPantiGFP;AP2AE1GPIGFP;DAPI_5x.czi_HH13,24059.756
202500908_ControlMO_Emb7_bothSide_BF;SOX10;H2BRFPantiGFP;AP2AE1GPIGFP;DAPI_5x.czi_HH13,32995.001
20250209_ControlMO_Emb2_UninjSide_pCIG;SOX10;DAPI;TFAP2B_5x_tilezstack.czi_HH14,25934.924
20250209_ControlMO_Emb4_InjSide_pCIG;SOX10;DAPI_10x_tilezstack.czi_HH14,13880.115
20250209_ControlMO_Emb7_InjSides_pCIG;SOX10;DAPI_10x_tilezstack.czi_HH14,19247.9
20250908_ControlMO_Emb1_InjSide_DAPI;antiGFP;AP2Ae1GPIEGFP;SOX10_10x_tilezstack.czi_HH14,20083.778
202500908_ControlMO_Emb3_InjSide_BF;SOX10;H2BRFPantiGFP;AP2AE1GPIGFP;DAPI_5x.czi_HH14,25200.31
202500908_ControlMO_Emb4_InjSide_BF;SOX10;H2BRFPantiGFP;AP2AE1GPIGFP;DAPI_5x.czi_HH14,39897.789
202500908_ControlMO_Emb5_InjSide_BF;SOX10;H2BRFPantiGFP;AP2AE1GPIGFP;DAPI_5x.czi_HH14,36113.958
,
,
,"APODMO"
20250209_APODMO_Emb4_BothSide_pCIG;SOX10;DAPI_5x_tilezstack.czi_HH13,12374.886
20250209_APODMO_Emb7_InjSide_pCIG;SOX10;DAPI_10x_tilezstack.czi_HH13,14913.879
20250908_APODMO_Emb3_BothSide_BF;SOX10;H2BRFPantiGFP;AP2AE1GPIGFP;DAPI_5x.czi_HH13,940.552
20250908_APODMO_Emb7_BothSide_BF;SOX10;H2BRFPantiGFP;AP2AE1GPIGFP;DAPI_5x.czi_HH13,5089.252
20250908_APODMO_Emb8_BothSide_BF;SOX10;H2BRFPantiGFP;AP2AE1GPIGFP;DAPI_5x.czi_HH13,8883.893
20250209_APODMO_Emb3_InjSide_pCIG;SOX10;DAPI;TFAP2B_5x_tilezstack.czi_HH14,6583.215
20250209_APODMO_Emb5_InjSide_pCIG;SOX10;DAPI_10x_tilezstack.czi_HH14,2833.118
20250209_APODMO_Emb6_InjSide_pCIG;SOX10;DAPI_10x_tilezstack.czi_HH14,11142.155
20250209_APODMO_Emb8_InjSide_pCIG;SOX10;DAPI_10x_tilezstack.czi_HH14,3334.861
20250209_APODMO_Emb9_InjSide_pCIG;SOX10;DAPI_10x_tilezstack.czi_HH14,12275.403
20250209_APODMO_Emb10_InjSide_pCIG;SOX10;DAPI_10x_tilezstack.czi_HH14,2024.274
20250908_APODMO_Emb1_InjSide_BF;SOX10;H2BRFPantiGFP;AP2AE1GPIGFP;DAPI_5x.czi_HH14,9389.305
20250908_APODMO_Emb2_BothSide_BF;SOX10;H2BRFPantiGFP;AP2AE1GPIGFP;DAPI_5x.czi_HH14,8827.136
20250908_APODMO_Emb4_InjSide_BF;SOX10;H2BRFPantiGFP;AP2AE1GPIGFP;DAPI_5x.czi_HH14,7097.385
20250908_APODMO_Emb6_BothSide_BF;SOX10;H2BRFPantiGFP;AP2AE1GPIGFP;DAPI_5x.czi_HH14,15597.489
