,Control MO - APOD,APOD MO - APOD,Control MO - ETV4,APOD MO - ETV4,Control MO - PAX2,APOD MO - PAX2,Control MO - SOX8,APOD MO - SOX8,Control MO - FOXI3 - Post Epi,APOD MO - FOXI3 - Post Epi,Control MO - FOXI3 -  Trigem,APOD MO - FOXI3 -  Trigem,Control MO - PAX2 - MB,APOD MO - PAX2 - MB
20240715_APODMO;1.0mM_GFP;SOX8;DAPI;APOD_Emb2,2562.755,2154.523,,,,,,,,,,,,
20240722_APODMO;1.0mM_GFP;SOX8;DAPI;APOD_Emb1,3192.589,2762.47,,,,,,,,,,,,
20240722_APODMO;1.0mM_GFP;SOX8;DAPI;APOD_Emb2,3157.204,2820.544,,,,,,,,,,,,
20240722_APODMO;1.0mM_GFP;SOX8;DAPI;APOD_Emb4,2442.559,2350.815,,,,,,,,,,,,
20240722_APODMO;1.0mM_GFP;SOX8;DAPI;APOD_Emb5,2845.434,2506.911,,,,,,,,,,,,
20240819_APODMO;1.0mM_GFP;FOXI3;DAPI;APOD_Emb1,2826.184,2317.211,,,,,,,,,,,,
20240819_APODMO;1.0mM_GFP;FOXI3;DAPI;APOD_Emb4,2562.449,2009.558,,,,,,,,,,,,
20240819_APODMO;1.0mM_GFP;SOX8;DAPI;APOD_Emb3,2573.625,2102.089,,,,,,,,,,,,
20240715_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb1,,,2975.229,2437.277,,,,,,,,,,
20240715_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb2,,,2439.427,2239.315,,,,,,,,,,
20240715_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb3,,,3245.775,2715.542,,,,,,,,,,
20240722_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb1,,,5649.885,3955.756,,,,,,,,,,
20240722_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb2,,,5974.288,4668.896,,,,,,,,,,
20240722_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb3,,,5667.039,5090.206,,,,,,,,,,
20240722_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb4,,,4909.014,3807.152,,,,,,,,,,
20240819_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb1,,,4877.225,4521.131,,,,,,,,,,
20240819_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb2,,,3877.681,3246.381,,,,,,,,,,
20240819_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb3,,,3729.504,3052.253,,,,,,,,,,
20240715_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb1,,,,,5550.145,3960.781,,,,,,,,
20240715_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb2,,,,,3877.009,2722.769,,,,,,,,
20240715_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb3,,,,,7563.295,4919.361,,,,,,,,
20240722_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb1,,,,,14929.994,7796.303,,,,,,,,
20240722_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb2,,,,,10571.053,6491.052,,,,,,,,
20240722_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb3,,,,,13336.626,9253.997,,,,,,,,
20240722_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb4,,,,,12585.232,5907.098,,,,,,,,
20240819_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb1,,,,,12765.43,8514.432,,,,,,,,
20240819_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb2,,,,,11671.1,5367.322,,,,,,,,
20240819_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb3,,,,,8587.346,7554.564,,,,,,,,
20240715_APODMO;1.0mM_GFP;SOX8;DAPI;APOD_Emb2,,,,,,,5360.284,3113.772,,,,,,
20240715_APODMO;1.0mM_GFP;SOX8;DAPI;APOD_Emb4,,,,,,,3140.258,2134.023,,,,,,
20240722_APODMO;1.0mM_GFP;SOX8;DAPI;APOD_Emb1,,,,,,,6385.138,2933.79,,,,,,
20240722_APODMO;1.0mM_GFP;SOX8;DAPI;APOD_Emb2,,,,,,,7137.169,6306.711,,,,,,
20240722_APODMO;1.0mM_GFP;SOX8;DAPI;APOD_Emb3,,,,,,,5052.606,3441.686,,,,,,
20240722_APODMO;1.0mM_GFP;SOX8;DAPI;APOD_Emb4,,,,,,,6634.273,4571.017,,,,,,
20240722_APODMO;1.0mM_GFP;SOX8;DAPI;APOD_Emb5,,,,,,,5419.533,4267.533,,,,,,
20240819_APODMO;1.0mM_GFP;SOX8;DAPI;APOD_Emb1,,,,,,,2440.943,1392.696,,,,,,
20240819_APODMO;1.0mM_GFP;SOX8;DAPI;APOD_Emb2,,,,,,,2981.73,1563.534,,,,,,
20240819_APODMO;1.0mM_GFP;SOX8;DAPI;APOD_Emb3,,,,,,,5436.169,2806.385,,,,,,
20240715_APODMO;1.0mM_GFP;FOXI3;DAPI;cMYB_Emb1,,,,,,,,,2920.691,1845.819,,,,
20240715_APODMO;1.0mM_GFP;FOXI3;DAPI;cMYB_Emb3,,,,,,,,,10079.145,4093.969,,,,
20240715_APODMO;1.0mM_GFP;FOXI3;DAPI;cMYB_Emb4,,,,,,,,,2238.007,1484.455,,,,
20240722_APODMO;1.0mM_GFP;FOXI3;DAPI;cMYB_Emb3,,,,,,,,,7344.525,6040.869,,,,
20240722_APODMO;1.0mM_GFP;FOXI3;DAPI;cMYB_Emb4,,,,,,,,,3973.63,3318.833,,,,
20240819_APODMO;1.0mM_GFP;FOXI3;DAPI;APOD_Emb2,,,,,,,,,3427.422,2464.482,,,,
20240819_APODMO;1.0mM_GFP;FOXI3;DAPI;APOD_Emb4,,,,,,,,,4098.086,2419.851,,,,
20240715_APODMO;1.0mM_GFP;FOXI3;DAPI;cMYB_Emb1,,,,,,,,,,,6987.326,4606.454,,
20240715_APODMO;1.0mM_GFP;FOXI3;DAPI;cMYB_Emb3,,,,,,,,,,,10809.699,10255.435,,
20240715_APODMO;1.0mM_GFP;FOXI3;DAPI;cMYB_Emb4,,,,,,,,,,,6667.774,5225.398,,
20240722_APODMO;1.0mM_GFP;FOXI3;DAPI;cMYB_Emb3,,,,,,,,,,,15287.1,13083.586,,
20240722_APODMO;1.0mM_GFP;FOXI3;DAPI;cMYB_Emb4,,,,,,,,,,,17918.277,10722.551,,
20240819_APODMO;1.0mM_GFP;FOXI3;DAPI;APOD_Emb1,,,,,,,,,,,10604.244,8899.793,,
20240819_APODMO;1.0mM_GFP;FOXI3;DAPI;APOD_Emb2,,,,,,,,,,,10951.859,7883.971,,
20240819_APODMO;1.0mM_GFP;FOXI3;DAPI;APOD_Emb4,,,,,,,,,,,10481.294,8914.887,,
20240715_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb2,,,,,,,,,,,,,4278.488,3853.522
20240715_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb3,,,,,,,,,,,,,10402.791,9985.857
20240722_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb2,,,,,,,,,,,,,16873.782,15125.159
20240722_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb3,,,,,,,,,,,,,25762.517,24918.582
20240722_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb4,,,,,,,,,,,,,20057.792,18663.596
20240819_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb1,,,,,,,,,,,,,22008.141,17178.021
20240819_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb2,,,,,,,,,,,,,16274.229,16248.503
20240819_APODMO;1.0mM_GFP;ETV4;DAPI;PAX2_Emb3,,,,,,,,,,,,,16104.283,14128.782
