"Measurement","Date","Treatment","Embryo","Stage","Emb_ID","Cntl","Expt","Ratio"
"SOX10","20251008","1,5ugul;dnFGFR1;APODOE","Emb3","7ss","20251008_1,5ugul;dnFGFR1;APODOE_Emb3_7ss",102.674,68.427,0.666449149736058
"SOX10","20251008","1,5ugul;dnFGFR1;APODOE","Emb5","8ss","20251008_1,5ugul;dnFGFR1;APODOE_Emb5_8ss",102.885,111.789,1.08654322787578
"SOX10","20251008","1,5ugul;dnFGFR1;APODOE","Emb6","8ss","20251008_1,5ugul;dnFGFR1;APODOE_Emb6_8ss",88.256,74.822,0.84778372008702
"SOX10","20251013","1,5ugul;dnFGFR1;APODOE","Emb1","8ss","20251013_1,5ugul;dnFGFR1;APODOE_Emb1_8ss",173.834,91.027,0.523643245855241
"SOX10","20251013","1,5ugul;dnFGFR1;APODOE","Emb3","8ss","20251013_1,5ugul;dnFGFR1;APODOE_Emb3_8ss",94.884,97.432,1.02685384258674
"SOX10","20251013","1,5ugul;dnFGFR1;APODOE","Emb5","8ss","20251013_1,5ugul;dnFGFR1;APODOE_Emb5_8ss",239.235,91.852,0.383940476936903
"SOX10","20251013","1,5ugul;dnFGFR1;APODOE","Emb6","9ss","20251013_1,5ugul;dnFGFR1;APODOE_Emb6_9ss",335.719,258.327,0.769473875473238
"SOX10","20251013","1,5ugul;dnFGFR1;APODOE","Emb8","9ss","20251013_1,5ugul;dnFGFR1;APODOE_Emb8_9ss",174.522,165.193,0.946545421207642
"SOX10","20251013","1,5ugul;dnFGFR1;APODOE","Emb9","9ss","20251013_1,5ugul;dnFGFR1;APODOE_Emb9_9ss",216.564,132.434,0.611523614266452
"SOX10","20251020","1,5ugul;dnFGFR1;APODOE","Emb10","7ss","20251020_1,5ugul;dnFGFR1;APODOE_Emb10_7ss",64.442,54.264,0.842059526395829
"SOX10","20251020","1,5ugul;dnFGFR1;APODOE","Emb11","9ss","20251020_1,5ugul;dnFGFR1;APODOE_Emb11_9ss",481.551,242.804,0.504212430251417
"SOX10","20251020","1,5ugul;dnFGFR1;APODOE","Emb2","8ss","20251020_1,5ugul;dnFGFR1;APODOE_Emb2_8ss",377.861,157.675,0.417283074993185
"SOX10","20251020","1,5ugul;dnFGFR1;APODOE","Emb3","8ss","20251020_1,5ugul;dnFGFR1;APODOE_Emb3_8ss",410.208,191.178,0.466051369061549
"SOX10","20251020","1,5ugul;dnFGFR1;APODOE","Emb4","8ss","20251020_1,5ugul;dnFGFR1;APODOE_Emb4_8ss",239.747,96.031,0.400551414616241
"SOX10","20251020","1,5ugul;dnFGFR1;APODOE","Emb5","9ss","20251020_1,5ugul;dnFGFR1;APODOE_Emb5_9ss",369.074,219.584,0.594959276459463
"SOX10","20251020","1,5ugul;dnFGFR1;APODOE","Emb6","9ss","20251020_1,5ugul;dnFGFR1;APODOE_Emb6_9ss",601.211,85.202,0.141717300581659
"SOX10","20251020","1,5ugul;dnFGFR1;APODOE","Emb7","7ss","20251020_1,5ugul;dnFGFR1;APODOE_Emb7_7ss",289.591,102.283,0.353198131157391
"SOX10","20251020","1,5ugul;dnFGFR1;APODOE","Emb8","7ss","20251020_1,5ugul;dnFGFR1;APODOE_Emb8_7ss",91.404,74.168,0.811430571966216
"SOX10","20251020","1,5ugul;dnFGFR1;APODOE","Emb9","7ss","20251020_1,5ugul;dnFGFR1;APODOE_Emb9_7ss",349.085,286.948,0.822000372402137
